timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681595289229,244,HTTP Request compresion 1,200,OK,Thread Group 1-276,text,true,,196,16521511,2,2,http://localhost:5000/api/tasks,244,0,2
1681595289423,196,HTTP Request compresion 1,200,OK,Thread Group 1-277,text,true,,196,16521503,1,1,http://localhost:5000/api/tasks,195,0,2
1681595289624,137,HTTP Request compresion 1,200,OK,Thread Group 1-278,text,true,,196,16521487,1,1,http://localhost:5000/api/tasks,137,0,2
1681595289830,122,HTTP Request compresion 1,200,OK,Thread Group 1-279,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,121,0,1
1681595290028,169,HTTP Request compresion 1,200,OK,Thread Group 1-280,text,true,,196,16521495,1,1,http://localhost:5000/api/tasks,168,0,1
1681595290216,157,HTTP Request compresion 1,200,OK,Thread Group 1-281,text,true,,196,16521519,1,1,http://localhost:5000/api/tasks,156,0,3
1681595290429,180,HTTP Request compresion 1,200,OK,Thread Group 1-282,text,true,,196,16521523,1,1,http://localhost:5000/api/tasks,180,0,0
1681595290616,261,HTTP Request compresion 1,200,OK,Thread Group 1-283,text,true,,196,16521511,2,2,http://localhost:5000/api/tasks,261,0,2
1681595290814,347,HTTP Request compresion 1,200,OK,Thread Group 1-284,text,true,,196,16521499,2,2,http://localhost:5000/api/tasks,347,0,1
1681595291029,280,HTTP Request compresion 1,200,OK,Thread Group 1-285,text,true,,196,16521519,2,2,http://localhost:5000/api/tasks,280,0,2
1681595291223,419,HTTP Request compresion 1,200,OK,Thread Group 1-286,text,true,,196,16521499,3,3,http://localhost:5000/api/tasks,418,0,3
1681595291425,366,HTTP Request compresion 1,200,OK,Thread Group 1-287,text,true,,196,16521483,2,2,http://localhost:5000/api/tasks,366,0,2
1681595291634,1751,HTTP Request compresion 1,200,OK,Thread Group 1-288,text,true,,196,16521515,9,9,http://localhost:5000/api/tasks,1751,0,2
1681595292017,4228,HTTP Request compresion 1,200,OK,Thread Group 1-290,text,true,,196,16521515,23,23,http://localhost:5000/api/tasks,4228,0,84
1681595291812,4512,HTTP Request compresion 1,200,OK,Thread Group 1-289,text,true,,196,16521491,22,22,http://localhost:5000/api/tasks,4512,0,1
1681595292223,4107,HTTP Request compresion 1,200,OK,Thread Group 1-291,text,true,,196,16521507,21,21,http://localhost:5000/api/tasks,4107,0,1
1681595292412,3918,HTTP Request compresion 1,200,OK,Thread Group 1-292,text,true,,196,16521499,21,21,http://localhost:5000/api/tasks,3918,0,1
1681595292618,5364,HTTP Request compresion 1,200,OK,Thread Group 1-293,text,true,,196,16521483,27,27,http://localhost:5000/api/tasks,5364,0,0
1681595292810,5264,HTTP Request compresion 1,200,OK,Thread Group 1-294,text,true,,196,16521495,27,27,http://localhost:5000/api/tasks,5263,0,91
1681595293010,5188,HTTP Request compresion 1,200,OK,Thread Group 1-295,text,true,,196,16521511,26,26,http://localhost:5000/api/tasks,5188,0,2
1681595293413,5006,HTTP Request compresion 1,200,OK,Thread Group 1-297,text,true,,196,16521519,26,26,http://localhost:5000/api/tasks,5005,0,1
1681595293705,4761,HTTP Request compresion 1,200,OK,Thread Group 1-298,text,true,,196,16521515,26,26,http://localhost:5000/api/tasks,4761,0,50
1681595293239,5269,HTTP Request compresion 1,200,OK,Thread Group 1-296,text,true,,196,16521491,25,25,http://localhost:5000/api/tasks,5269,0,35
1681595294681,4247,HTTP Request compresion 1,200,OK,Thread Group 1-300,text,true,,196,16521499,26,26,http://localhost:5000/api/tasks,4247,0,1
1681595294681,5921,HTTP Request compresion 1,200,OK,Thread Group 1-301,text,true,,196,16521487,33,33,http://localhost:5000/api/tasks,5921,0,1
1681595294681,5937,HTTP Request compresion 1,200,OK,Thread Group 1-303,text,true,,196,16521499,32,32,http://localhost:5000/api/tasks,5937,0,53
1681595294681,5943,HTTP Request compresion 1,200,OK,Thread Group 1-302,text,true,,196,16521523,31,31,http://localhost:5000/api/tasks,5943,0,123
1681595294681,6012,HTTP Request compresion 1,200,OK,Thread Group 1-299,text,true,,196,16521487,31,31,http://localhost:5000/api/tasks,6012,0,1
1681595294878,6138,HTTP Request compresion 1,200,OK,Thread Group 1-304,text,true,,196,16521519,31,31,http://localhost:5000/api/tasks,6137,0,42
1681595296655,4501,HTTP Request compresion 1,200,OK,Thread Group 1-313,text,true,,196,16521511,31,31,http://localhost:5000/api/tasks,4501,0,2
1681595295314,6388,HTTP Request compresion 1,200,OK,Thread Group 1-306,text,true,,196,16521499,32,32,http://localhost:5000/api/tasks,6388,0,59
1681595296235,5683,HTTP Request compresion 1,200,OK,Thread Group 1-311,text,true,,196,16521491,33,33,http://localhost:5000/api/tasks,5682,0,1
1681595295448,6569,HTTP Request compresion 1,200,OK,Thread Group 1-307,text,true,,196,16521483,32,32,http://localhost:5000/api/tasks,6569,0,1
1681595296543,5491,HTTP Request compresion 1,200,OK,Thread Group 1-312,text,true,,196,16521499,31,31,http://localhost:5000/api/tasks,5491,0,2
1681595295102,6929,HTTP Request compresion 1,200,OK,Thread Group 1-305,text,true,,196,16521523,30,30,http://localhost:5000/api/tasks,6929,0,1
1681595295635,6701,HTTP Request compresion 1,200,OK,Thread Group 1-308,text,true,,196,16521519,31,31,http://localhost:5000/api/tasks,6701,0,1
1681595295838,6673,HTTP Request compresion 1,200,OK,Thread Group 1-309,text,true,,196,16521499,31,31,http://localhost:5000/api/tasks,6673,0,1
1681595297656,5020,HTTP Request compresion 1,200,OK,Thread Group 1-318,text,true,,196,16521495,31,31,http://localhost:5000/api/tasks,5020,0,58
1681595296083,6663,HTTP Request compresion 1,200,OK,Thread Group 1-310,text,true,,196,16521483,30,30,http://localhost:5000/api/tasks,6663,0,56
1681595297473,5298,HTTP Request compresion 1,200,OK,Thread Group 1-317,text,true,,196,16521483,29,29,http://localhost:5000/api/tasks,5298,0,1
1681595298032,4864,HTTP Request compresion 1,200,OK,Thread Group 1-320,text,true,,196,16521499,29,29,http://localhost:5000/api/tasks,4864,0,2
1681595299497,3523,HTTP Request compresion 1,200,OK,Thread Group 1-327,text,true,,196,16521523,28,28,http://localhost:5000/api/tasks,3522,0,1
1681595297841,5230,HTTP Request compresion 1,200,OK,Thread Group 1-319,text,true,,196,16521495,28,28,http://localhost:5000/api/tasks,5230,0,1
1681595298436,4682,HTTP Request compresion 1,200,OK,Thread Group 1-322,text,true,,196,16521495,27,27,http://localhost:5000/api/tasks,4681,0,44
